pdb_id,pIC50
7gnf,6.66976282750156
7gne,5.42908880221149
7gga,6.54725354142573
7gg2,5.76611887119722
7gjm,6.80484362854774
7gej,5.0276419604968
7gb0,4.00217691925428
7gkt,6.05997161842303
7giz,6.44999373297877
7gjw,5.42191447417395
7gk8,6.41662402410901
7gez,4.12162161047953
7geb,6.19524900559013
7ggz,4.00217691925428
7gj9,6.17471872620197
7gmu,6.40031466532488
7gfp,4.38373421094896
7gio,6.11963992243521
7ghn,6.99869852080898
7gkk,4.6397350489627
7gm3,5.53676196198944
7gla,6.45207983248305
7gjs,5.21350850356942
7gn2,6.09138301022894
7gi5,6.13986196030846
7gju,5.12016602249722
7gk1,6.21534776040265
7gkg,5.83100928346567
7glw,6.58085213708827
7glj,7.24562017223431
7gey,4.26275652316423
7ge4,4.79410412991646
7ge3,5.37444682275349
7gkj,5.59849852806799
7gbd,4.46443484130635
7gki,6.26995933809164
7gic,5.31834859820214
7gks,7.28767717288081
7gg4,4.00217691925428
7gdi,4.52491613872174
7gel,4.08792087216765
7gfq,5.30572144173764
7gbv,4.01347479791254
7gfd,4.11274941032037
7gh7,4.26008877716146
5rh3,4.58170257283712
7gf3,4.00217691925428
7gbo,4.00217691925428
7gbz,4.00423322095003
7gf6,4.49594364697783
7ggc,4.59659765417483
7gfk,4.70547866813353
7ggb,4.43732962752339
7gfi,4.94859310558645
7gcv,5.44022467292187
7gi4,5.44022467292187
7ge9,4.68626047101758
5rgx,4.21200118490494
5rh2,4.60939702208714
7gbs,4.01845935410955
7gcq,4.33314474762652
7gev,4.00217691925428
7ghb,4.00436480540245
7gck,4.22233302657587
7gh3,4.30847524324559
7gef,4.00217691925428
7gh5,4.19038095124364
7gem,4.00217691925428
7gns,6.97247709216668
7gfg,4.62115654669179
7gd4,5.78844242195303
7gn7,7.05740392639585
7gk4,5.74503449429525
7gnt,7.12837740063676
7gbw,4.76146459988388
7gf5,4.60585656833159
7gmy,6.49517190670329
7gln,7.04318679234433
7gmc,6.82795434415661
7ges,4.46384260107756
7gmx,5.47549023826647
7gij,5.53390684249171
7gkq,6.56024771675776
7gi7,6.54239667176338
7ggf,6.30385465505049
7gge,5.2964278970786
7gfn,4.79761804486861
7gfm,6.5457132022251
7gd5,5.74624419353312
7gg5,5.31410794276923
7gmp,5.16875456154351
7gmk,6.13716128581394
7gj0,5.30061988311419
7gmq,5.54834882945585
7gnh,6.79377853273463
7gmb,6.04942849519332
7gkr,6.85362637653024
7gml,5.52096089992932
7glg,6.93408780424132
7geh,4.00217691925428
7glm,7.07080119482537
7gly,6.92188334395759
7ggs,4.68455926984195
7gk0,6.24968589032695
7gk2,5.19431139502095
7gj5,6.60948247576809
7gjy,5.54254156504597
7gjf,6.09538676348178
7gk3,5.52246824220248
7ggw,4.88455710884758
7gek,4.02740876734456
7gm0,5.59680512695383
7gky,5.82506121175926
7gku,6.80779475731835
7glz,6.9079314964839
7gnr,7.30102998919249
7gn9,7.25701646283641
7gmi,5.77202636606794
7gmm,6.04609333693186
7gjb,5.47745099183239
7gnb,7.30102998919249
7glv,7.70478543801799
7gmw,6.81444995896453
7gm2,7.12873666313387
7gmg,6.92237829389848
7glx,7.1774143975656
7gmf,6.44264351695765
7gn6,6.71068199858478
7gni,6.84448477819062
7gnc,6.97232081374747
7gn8,7.11712606136225
7gm8,6.46830752295909
7gm4,6.58964850709295
7gm6,6.71141398664098
7gm1,6.54021485486957
7gkv,7.10260196003148
7gm9,6.65361028052315
7gng,6.58795145153588
7gkc,5.73877335242964
7gfo,5.84758028253581
7git,5.3225556727093
7gcz,5.36361971505207
7gkz,4.49037968375993
7gl7,6.11535696600731
7gji,6.51239070109353
7gkn,6.7857981076022
7gjv,6.6913299011477
7gj3,7.07554978290657
7gen,4.62502641013587
7gli,6.93803518809045
7gkw,6.24203702074164
7giv,5.96666105049819
7glc,6.38584004298938
7gl5,6.83742843891493
7gjp,6.3821342986644
7gn5,6.67646899771618
7gdz,4.43436132281799
7glh,5.94427513455517
7gfa,5.91996696607632
7gg7,5.94394862338991
7giw,6.64383609065227
7gh4,6.04682020290596
7gfj,4.41146039970835
7gfe,5.42208492376964
7gfz,4.00217691925428
7gg1,4.00217691925428
7gbj,4.00217691925428
7ge2,4.97383386143926
7ge1,5.69273555095619
7gh6,5.10386775490935
7gft,5.48928016406603
7gl4,7.15521143368528
7gjr,5.02992620102897
7glf,6.98113223513167
7gkx,5.64497294037319
7gjk,6.24886552153932
7gja,6.0595571969239
5rhd,4.00217691925428
7giq,6.01595468534704
7gms,7.40213373513755
7glu,6.42492936702615
7gn3,5.79527202644378
7gmr,5.5728103904055
7gjd,6.32537881811687
7gaw,7.43374997846106
7glt,7.22213825309691
7gn1,6.9185145527447
7gie,6.36581681638771
7gig,5.73804239449744
7gl2,7.19200920916972
7gld,7.07892075313308
7gmt,5.95751707779775
7gke,6.60189497209487
7gi6,6.00070816553968
7gik,5.47083827608333
7gh1,4.08491375309362
7ggx,5.29924711262199
7gg8,4.47536960630603
7gfc,5.42024846356211
7ggn,4.80075971682142
7ghe,4.56027432806821
7ge8,4.61979599903336
7ggg,5.03668477637507
7gfs,5.26395397160723
7gk7,6.20782957316059
7gjt,6.28105559514192
7gjg,5.00082601992457
7gjz,6.14236670344839
7gfu,5.82526790711604
7gfr,5.46887015990566
7gih,6.24454562045669
7gi9,5.76575728637831
7gj1,5.73352688478941
7gia,4.91238825759391
7gil,6.42615850480313
7gif,5.30361239723612
7gec,4.00217691925428
7gb5,4.26988576965696
7gex,4.00217691925428
7gei,5.0950711455967
7gfx,5.28706305186407
7geg,4.00217691925428
7ggi,5.1383475255091
7gme,5.41864647198997
7gmn,5.66708141246517
7gmh,5.78690802197149
7gdd,6.1377455332579
7gew,5.15374006263866
7ger,5.36924031884712
7gf0,5.10008880703492
7gfh,4.87742770264231
7gf2,4.17319748765382
7get,4.38836444790846
7gkl,4.74086836778724
7gf1,5.14426066913589
7geo,4.00217691925428
7gg0,4.00217691925428
7geu,4.66451451883685
7gbx,5.08074048242109
7gfl,5.23639051098927
7ggm,4.39093519745236
7gib,5.73240511360745
7gid,4.85387532283708
7gbl,4.05286743432858
7gis,6.00080559189019
7ggk,5.00607311804639
5rgv,4.23964977629482
7gbn,4.60294830272593
7gn4,6.94834777802507
7gn0,6.11837710447137
7gle,6.92006368211016
7gnk,7.08420858545678
7gj2,5.54066653019935
7gh0,4.5101561805097
7gd3,5.39848777396883
7gb6,5.51475116636676
7gnd,6.68795280723978
7ggt,5.21024267565027
7gmz,4.1158245380253
7gj4,6.49151954099866
7gkf,6.60224092992488
7gkb,6.50284742004594
7gir,6.00525275344747
7ggq,6.63784510225746
7gjo,6.91977636386079
7gfb,6.67903921895171
7gjx,6.54041446419378
7gj8,5.82674774203967
7gl0,6.33565981037224
7gj6,5.69602344468748
7gip,6.10783949808347
7gii,5.85270974227144
7gim,6.57593623768696
7gin,6.68649585461002
7gjq,6.67179801078251
7gmo,5.90838240026403
7gkp,6.50821142636971
7gko,6.66328975247116
7gll,6.81904531631322
7gl3,6.80113267193802
7gm5,6.95245266370799
7gm7,6.47569164098235
7gav,6.11682772636506
7gk6,5.94846613158618
7ggj,5.50881167759695
7gkd,5.9836133491814
7gkh,6.00961181708542
7gbi,4.37305072137143
7gdc,4.86416835897919
7gbe,6.21839864131865
7gbr,4.00217691925428
7gk5,5.52914135881076
7gka,4.40350305972646
7gjl,5.84001161893377
7ggl,4.10674081006472
7ggh,5.94252356975963
7gl9,6.60870195543
7gi8,6.35013568122815
7ggr,4.68285842439601
7ghm,5.95705731301804
7gl6,4.04251604161126
7gmj,6.17638257821026
7gkm,5.88885948064518
7gk9,6.31057441851877
7gix,6.16013701632411
7gnl,7.55284196865778
7gnq,7.46852108295774
7gjj,5.77728352885242
7z4s,7.30102999566398
7rnw,7.15490195998574
7n44,7.3767507096021
7l0d,5.60205999132796
6m2n,6.0268721464003
7p2g,6
7rm2,6.53760200210104
7rls,6.53760200210104
7rme,5.85387196432176
7rmb,6.21467016498923
7rmz,5.19382002601611
7rmt,5.20760831050175
7vth,5.06550154875643
8dz0,7.88605664769316
7vvp,6.15989390554324
7s4b,5.67778070526608
8w1t,6.16115090926274
8w1u,8.04575749056068
9gij,7.10237290870956
9gil,7.74472749489669
7ca8,6.40120949323689
7ddc,4.49757288001557
7rn4,5.05551732784983
7en9,7.14874165128092
7en8,7.14266750356873
8q71,6.67778070526608
8acd,6.39794000867204
8acl,6.39794000867204
7ur9,7.74119375300901
7urb,7.45483847337191
7us4,7.65932264429396
7vic,5.66554624884907
8i4s,7
8cyu,6.15490195998574
8cyz,6.04575749056068
8cz4,5.63827216398241
8cz7,5.30102999566398
7b2j,4.69897000433602
8dii,4.25963731050576
7nbt,5.67778070526608
7neo,5.16115090926274
7o46,6.48148606012211
7qbb,6.4089353929735
8udo,8
8udp,8
8udq,7.15490195998574
8udx,7.52287874528034
8ue0,5.52287874528034
8udw,7.69897000433602
8uef,6.52287874528034
8ueg,7
8ueh,6.30102999566398
8sxr,5.34678748622466
8ykj,5.55284196865778
7kx5,6.69897000433602
8ur9,7.35654732351381
7l10,5.39577394691553
7l11,6.85387196432176
7l12,6.89279003035213
7l13,7.74472749489669
7l14,6.76955107862173
8r12,4.61618463401957
8r14,5.88605664769316
8r11,5.2518119729938
8r16,5.63827216398241
7lmd,6.96257350205938
7lmf,6.82973828460504
7ltj,6.16749108729376
7m8m,6.92081875395238
7m8p,7.69897000433602
7m8o,7.43179827593301
7m8n,7
7m8x,6.32790214206428
7m8y,6.95860731484177
7m90,6.60205999132796
7m8z,6.60205999132796
7m91,7.60205999132796
7glk,6.99567862621736
